,ID,Assay,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.signif,Adjusted_pval
183,183,IGFBP1,2.7504,NPX,Day 1 1h,Day 1 6h,14,14,186,6.93E-06,1.8875,3.9929,Wilcoxon,two.sided,****,0.00253638
139,139,FABP2,0.8157,NPX,Day 1 1h,Day 1 6h,13,13,156,7.17E-05,0.4344,1.395,Wilcoxon,two.sided,****,0.0131211
194,194,IL6,-1.99505,NPX,Day 1 1h,Day 1 6h,13,14,30,0.00228,-3.2721,-0.6837,Wilcoxon,two.sided,**,0.227835
177,177,HYAL1,0.31555,NPX,Day 1 1h,Day 1 6h,14,14,162,0.00249,0.1476,0.5386,Wilcoxon,two.sided,**,0.227835
264,264,PLAT,0.81045,NPX,Day 1 1h,Day 1 6h,14,14,158,0.00491,0.2194,1.3436,Wilcoxon,two.sided,**,0.359412
141,141,FABP6,0.53195,NPX,Day 1 1h,Day 1 6h,13,14,138,0.0222,0.1263,0.8663,Wilcoxon,two.sided,*,0.983057851
212,212,LGALS3,0.32035,NPX,Day 1 1h,Day 1 6h,14,14,147,0.0241,0.0259,0.6659,Wilcoxon,two.sided,*,0.983057851
167,167,GSTA1,0.8971,NPX,Day 1 1h,Day 1 6h,13,13,128,0.0256,0.0938,1.5649,Wilcoxon,two.sided,*,0.983057851
146,146,FBP1,0.7632,NPX,Day 1 1h,Day 1 6h,13,13,126,0.0338,0.0927,1.5697,Wilcoxon,two.sided,*,0.983057851
319,319,SPON2,0.465,NPX,Day 1 1h,Day 1 6h,13,13,125,0.0387,0.0244,0.9896,Wilcoxon,two.sided,*,0.983057851
172,172,HK2,-0.6047,NPX,Day 1 1h,Day 1 6h,13,14,49,0.0427,-1.3927,-0.0423,Wilcoxon,two.sided,*,0.983057851
145,145,FAS,0.32635,NPX,Day 1 1h,Day 1 6h,14,14,142,0.0444,0.0086,0.5867,Wilcoxon,two.sided,*,0.983057851
53,53,CCN3,0.56005,NPX,Day 1 1h,Day 1 6h,14,14,141,0.0497,0.0578,0.9207,Wilcoxon,two.sided,*,0.983057851
234,234,MTPN,0.2692,NPX,Day 1 1h,Day 1 6h,13,14,130,0.0609,-0.0121,0.4988,Wilcoxon,two.sided,ns,0.983057851
228,228,MFAP5,0.43215,NPX,Day 1 1h,Day 1 6h,14,14,139,0.062,-0.0361,0.9454,Wilcoxon,two.sided,ns,0.983057851
333,333,TGFBR3,0.3125,NPX,Day 1 1h,Day 1 6h,14,14,137,0.0767,-0.0559,0.5921,Wilcoxon,two.sided,ns,0.983057851
342,342,TIMP1,0.19605,NPX,Day 1 1h,Day 1 6h,14,14,137,0.0767,-0.0198,0.3987,Wilcoxon,two.sided,ns,0.983057851
143,143,FAM3C,0.2554,NPX,Day 1 1h,Day 1 6h,13,13,118,0.0908,-0.0453,0.4951,Wilcoxon,two.sided,ns,0.983057851
223,223,MCFD2,-0.3862,NPX,Day 1 1h,Day 1 6h,13,13,51,0.0908,-0.8817,0.103,Wilcoxon,two.sided,ns,0.983057851
350,350,TSHB,0.5066,NPX,Day 1 1h,Day 1 6h,13,13,118,0.0908,-0.122,1.1074,Wilcoxon,two.sided,ns,0.983057851
63,63,CDH1,0.2132,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0153,0.4437,Wilcoxon,two.sided,ns,0.983057851
128,128,EFEMP1,0.2703,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0393,0.6527,Wilcoxon,two.sided,ns,0.983057851
137,137,F7,0.2532,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0425,0.5758,Wilcoxon,two.sided,ns,0.983057851
186,186,IGFBP6,0.28935,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.069,0.6209,Wilcoxon,two.sided,ns,0.983057851
285,285,QPCT,0.2375,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0513,0.5588,Wilcoxon,two.sided,ns,0.983057851
241,241,NPDC1,0.2033,NPX,Day 1 1h,Day 1 6h,13,13,117,0.101,-0.0855,0.4737,Wilcoxon,two.sided,ns,0.983057851
48,48,CCL15,0.3502,NPX,Day 1 1h,Day 1 6h,14,14,134,0.104,-0.0851,0.8281,Wilcoxon,two.sided,ns,0.983057851
221,221,MB,0.351,NPX,Day 1 1h,Day 1 6h,14,14,133,0.114,-0.1002,0.7328,Wilcoxon,two.sided,ns,0.983057851
42,42,CA5A,0.70545,NPX,Day 1 1h,Day 1 6h,13,14,124,0.116,-0.1354,1.606,Wilcoxon,two.sided,ns,0.983057851
4,4,ACP5,0.1807,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0857,0.3978,Wilcoxon,two.sided,ns,0.983057851
33,33,BLMH,0.2087,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0932,0.7344,Wilcoxon,two.sided,ns,0.983057851
66,66,CDH5,0.1576,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0843,0.3543,Wilcoxon,two.sided,ns,0.983057851
219,219,LTBP2,0.2817,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.068,0.6521,Wilcoxon,two.sided,ns,0.983057851
254,254,PCSK9,0.43865,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.1592,0.8727,Wilcoxon,two.sided,ns,0.983057851
308,308,SERPINE1,0.5747,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.1101,1.4931,Wilcoxon,two.sided,ns,0.983057851
306,306,SERPINA12,0.359,NPX,Day 1 1h,Day 1 6h,13,13,114,0.139,-0.1878,0.8226,Wilcoxon,two.sided,ns,0.983057851
242,242,NPPB,0.69905,NPX,Day 1 1h,Day 1 6h,13,14,122,0.141,-0.3463,1.7581,Wilcoxon,two.sided,ns,0.983057851
136,136,ESAM,0.213231426,NPX,Day 1 1h,Day 1 6h,14,14,130,0.148,-0.22239997,0.511980176,Wilcoxon,two.sided,ns,0.983057851
102,102,CST3,0.18935,NPX,Day 1 1h,Day 1 6h,14,14,130,0.15,-0.0991,0.4914,Wilcoxon,two.sided,ns,0.983057851
144,144,FAP,0.1756,NPX,Day 1 1h,Day 1 6h,14,14,130,0.15,-0.0446,0.394,Wilcoxon,two.sided,ns,0.983057851
46,46,CCDC80,0.1923,NPX,Day 1 1h,Day 1 6h,13,13,113,0.153,-0.1484,0.557,Wilcoxon,two.sided,ns,0.983057851
104,104,CSTB,0.2454,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.2337,0.9252,Wilcoxon,two.sided,ns,0.983057851
125,125,DPT,0.2591,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.1179,0.5453,Wilcoxon,two.sided,ns,0.983057851
260,260,PI3,0.1705,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.0765,0.4664,Wilcoxon,two.sided,ns,0.983057851
10,10,ADAMTS16,0.2827,NPX,Day 1 1h,Day 1 6h,13,14,120,0.169,-0.1585,0.6241,Wilcoxon,two.sided,ns,0.983057851
80,80,CLC,0.544,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.2174,1.204,Wilcoxon,two.sided,ns,0.983057851
265,265,PLIN3,0.2186,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.1588,1.075,Wilcoxon,two.sided,ns,0.983057851
334,334,TGM2,0.4442,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.4401,1.909,Wilcoxon,two.sided,ns,0.983057851
21,21,ANG,0.1576,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1065,0.4008,Wilcoxon,two.sided,ns,0.983057851
23,23,ANGPTL3,0.2964,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.123,0.6672,Wilcoxon,two.sided,ns,0.983057851
29,29,ART3,0.1636,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1049,0.3724,Wilcoxon,two.sided,ns,0.983057851
238,238,NID1,0.24505,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1531,0.5537,Wilcoxon,two.sided,ns,0.983057851
276,276,PROC,0.14535,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.0807,0.4011,Wilcoxon,two.sided,ns,0.983057851
75,75,CHEK2,0.2612,NPX,Day 1 1h,Day 1 6h,13,14,118,0.202,-0.2835,0.5754,Wilcoxon,two.sided,ns,0.983057851
199,199,ITGB1BP2,-0.9276,NPX,Day 1 1h,Day 1 6h,13,14,64,0.202,-1.9561,0.7341,Wilcoxon,two.sided,ns,0.983057851
281,281,PTN,0.42105,NPX,Day 1 1h,Day 1 6h,13,14,118,0.202,-0.1684,1.079,Wilcoxon,two.sided,ns,0.983057851
262,262,PLA2G1B,0.19655,NPX,Day 1 1h,Day 1 6h,14,14,126,0.21,-0.1161,0.5592,Wilcoxon,two.sided,ns,0.983057851
280,280,PTGDS,0.16665,NPX,Day 1 1h,Day 1 6h,14,14,126,0.21,-0.0877,0.4244,Wilcoxon,two.sided,ns,0.983057851
340,340,TIE1,0.2769,NPX,Day 1 1h,Day 1 6h,14,14,126,0.21,-0.1467,0.715,Wilcoxon,two.sided,ns,0.983057851
113,113,CXCL8,-0.2351,NPX,Day 1 1h,Day 1 6h,13,13,60,0.223,-0.6174,0.1492,Wilcoxon,two.sided,ns,0.983057851
211,211,LGALS1,0.2387,NPX,Day 1 1h,Day 1 6h,13,13,109,0.223,-0.1852,0.6502,Wilcoxon,two.sided,ns,0.983057851
9,9,ADAMTS13,0.10975,NPX,Day 1 1h,Day 1 6h,14,14,125,0.227,-0.1347,0.3512,Wilcoxon,two.sided,ns,0.983057851
24,24,ANPEP,0.09165,NPX,Day 1 1h,Day 1 6h,14,14,125,0.227,-0.0678,0.3181,Wilcoxon,two.sided,ns,0.983057851
110,110,CTSZ,0.20255,NPX,Day 1 1h,Day 1 6h,14,14,125,0.227,-0.0907,0.4797,Wilcoxon,two.sided,ns,0.983057851
123,123,DPP4,0.1179,NPX,Day 1 1h,Day 1 6h,14,14,125,0.227,-0.0908,0.303,Wilcoxon,two.sided,ns,0.983057851
60,60,CD59,0.15135,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.097,0.3671,Wilcoxon,two.sided,ns,0.983057851
76,76,CHI3L1,0.2106,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.1866,0.5023,Wilcoxon,two.sided,ns,0.983057851
89,89,COL18A1,0.1745,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.1168,0.4996,Wilcoxon,two.sided,ns,0.983057851
135,135,EPHB4,0.18745,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.0872,0.3864,Wilcoxon,two.sided,ns,0.983057851
187,187,IGFBP7,0.0974,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.079,0.2396,Wilcoxon,two.sided,ns,0.983057851
298,298,SCARF1,0.18755,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.1224,0.4947,Wilcoxon,two.sided,ns,0.983057851
329,329,TFF3,0.1571,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.1475,0.49,Wilcoxon,two.sided,ns,0.983057851
332,332,TGFBI,0.1304,NPX,Day 1 1h,Day 1 6h,14,14,124,0.246,-0.1482,0.4347,Wilcoxon,two.sided,ns,0.983057851
224,224,MEGF9,0.115571489,NPX,Day 1 1h,Day 1 6h,14,14,123,0.26,-0.115879222,0.280055151,Wilcoxon,two.sided,ns,0.983057851
158,158,GHRL,0.4194,NPX,Day 1 1h,Day 1 6h,13,13,107,0.264,-0.4368,1.2596,Wilcoxon,two.sided,ns,0.983057851
247,247,NTproBNP,0.6231,NPX,Day 1 1h,Day 1 6h,13,13,107,0.264,-0.5299,1.3963,Wilcoxon,two.sided,ns,0.983057851
49,49,CCL16,0.23415,NPX,Day 1 1h,Day 1 6h,14,14,123,0.265,-0.1968,0.6292,Wilcoxon,two.sided,ns,0.983057851
154,154,GDF15,-0.0853,NPX,Day 1 1h,Day 1 6h,14,14,73,0.265,-0.3726,0.0812,Wilcoxon,two.sided,ns,0.983057851
193,193,IL2RA,0.1632,NPX,Day 1 1h,Day 1 6h,14,14,123,0.265,-0.2127,0.4894,Wilcoxon,two.sided,ns,0.983057851
322,322,SSC5D,0.17855,NPX,Day 1 1h,Day 1 6h,14,14,123,0.265,-0.2287,0.5923,Wilcoxon,two.sided,ns,0.983057851
13,13,ADH4,0.4455,NPX,Day 1 1h,Day 1 6h,13,14,114,0.28,-0.3741,1.5522,Wilcoxon,two.sided,ns,0.983057851
98,98,CR2,0.1368,NPX,Day 1 1h,Day 1 6h,14,14,122,0.285,-0.1011,0.3678,Wilcoxon,two.sided,ns,0.983057851
153,153,GAS6,0.22355,NPX,Day 1 1h,Day 1 6h,14,14,122,0.285,-0.1674,0.5646,Wilcoxon,two.sided,ns,0.983057851
240,240,NOTCH3,0.2025,NPX,Day 1 1h,Day 1 6h,14,14,122,0.285,-0.2668,0.607,Wilcoxon,two.sided,ns,0.983057851
253,253,PCOLCE,0.2035,NPX,Day 1 1h,Day 1 6h,14,14,122,0.285,-0.1786,0.5467,Wilcoxon,two.sided,ns,0.983057851
258,258,PDGFRB,0.10375,NPX,Day 1 1h,Day 1 6h,14,14,122,0.285,-0.1318,0.3645,Wilcoxon,two.sided,ns,0.983057851
45,45,CBLIF,-0.2315,NPX,Day 1 1h,Day 1 6h,13,13,63,0.287,-0.8634,0.2987,Wilcoxon,two.sided,ns,0.983057851
335,335,THBD,0.1543,NPX,Day 1 1h,Day 1 6h,13,13,106,0.287,-0.0854,0.3935,Wilcoxon,two.sided,ns,0.983057851
307,307,SERPINB5,0.429,NPX,Day 1 1h,Day 1 6h,13,14,113,0.302,-0.6334,1.3118,Wilcoxon,two.sided,ns,0.983057851
92,92,COL6A3,0.2095,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.2065,0.6623,Wilcoxon,two.sided,ns,0.983057851
156,156,GGH,0.09795,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.2899,0.4104,Wilcoxon,two.sided,ns,0.983057851
268,268,PLXNB2,0.11615,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.1074,0.2657,Wilcoxon,two.sided,ns,0.983057851
283,283,PTPRS,0.12275,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.1491,0.3591,Wilcoxon,two.sided,ns,0.983057851
305,305,SERPINA11,0.3114,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.163,0.7304,Wilcoxon,two.sided,ns,0.983057851
318,318,SPARCL1,0.1318,NPX,Day 1 1h,Day 1 6h,14,14,121,0.306,-0.0965,0.3072,Wilcoxon,two.sided,ns,0.983057851
1,1,ACAN,0.0956,NPX,Day 1 1h,Day 1 6h,13,13,105,0.311,-0.1011,0.2835,Wilcoxon,two.sided,ns,0.983057851
22,22,ANGPTL1,-0.1199,NPX,Day 1 1h,Day 1 6h,13,13,64,0.311,-0.468,0.26,Wilcoxon,two.sided,ns,0.983057851
296,296,S100A11,0.1983,NPX,Day 1 1h,Day 1 6h,13,13,105,0.311,-0.1729,0.7541,Wilcoxon,two.sided,ns,0.983057851
361,361,VSIR,0.1265,NPX,Day 1 1h,Day 1 6h,13,13,105,0.311,-0.1638,0.3615,Wilcoxon,two.sided,ns,0.983057851
236,236,NCAM1,0.18911627,NPX,Day 1 1h,Day 1 6h,14,14,120.5,0.312,-0.182343364,0.517186262,Wilcoxon,two.sided,ns,0.983057851
34,34,BOC,0.1889,NPX,Day 1 1h,Day 1 6h,13,14,112,0.325,-0.1671,0.4635,Wilcoxon,two.sided,ns,0.983057851
170,170,GZMH,0.29515,NPX,Day 1 1h,Day 1 6h,13,14,112,0.325,-0.2284,1.0129,Wilcoxon,two.sided,ns,0.983057851
366,366,ZBTB17,0.2135,NPX,Day 1 1h,Day 1 6h,13,14,112,0.325,-0.3264,0.6931,Wilcoxon,two.sided,ns,0.983057851
149,149,FCN2,0.1258,NPX,Day 1 1h,Day 1 6h,14,14,120,0.329,-0.1869,0.4356,Wilcoxon,two.sided,ns,0.983057851
232,232,MSMB,0.29655,NPX,Day 1 1h,Day 1 6h,14,14,120,0.329,-0.282,0.8816,Wilcoxon,two.sided,ns,0.983057851
295,295,ROR1,0.078860548,NPX,Day 1 1h,Day 1 6h,13,13,104,0.33,-0.23178961,0.483868053,Wilcoxon,two.sided,ns,0.983057851
175,175,HSPB1,0.475,NPX,Day 1 1h,Day 1 6h,13,13,104,0.336,-0.8083,2.3988,Wilcoxon,two.sided,ns,0.983057851
209,209,LEP,0.7496,NPX,Day 1 1h,Day 1 6h,13,13,104,0.336,-0.7871,2.3014,Wilcoxon,two.sided,ns,0.983057851
287,287,RCOR1,0.1962,NPX,Day 1 1h,Day 1 6h,13,14,111,0.35,-0.2681,0.5474,Wilcoxon,two.sided,ns,0.983057851
352,352,TSPAN1,-0.0766,NPX,Day 1 1h,Day 1 6h,13,14,71,0.35,-0.2903,0.0823,Wilcoxon,two.sided,ns,0.983057851
56,56,CD209,0.2239,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.282,0.6864,Wilcoxon,two.sided,ns,0.983057851
59,59,CD55,0.11605,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.1348,0.3337,Wilcoxon,two.sided,ns,0.983057851
120,120,DLK1,0.10765,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.1241,0.5641,Wilcoxon,two.sided,ns,0.983057851
161,161,GP1BA,0.09995,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.1464,0.3771,Wilcoxon,two.sided,ns,0.983057851
202,202,KIT,0.16035,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.1121,0.3537,Wilcoxon,two.sided,ns,0.983057851
259,259,PEAR1,0.09905,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.0938,0.2923,Wilcoxon,two.sided,ns,0.983057851
286,286,RARRES2,0.19065,NPX,Day 1 1h,Day 1 6h,14,14,119,0.352,-0.307,0.6074,Wilcoxon,two.sided,ns,0.983057851
284,284,QDPR,0.3123,NPX,Day 1 1h,Day 1 6h,13,13,103,0.362,-0.3757,1.1925,Wilcoxon,two.sided,ns,0.983057851
180,180,ICAM2,0.116504505,NPX,Day 1 1h,Day 1 6h,14,14,118,0.37,-0.183649646,0.396390305,Wilcoxon,two.sided,ns,0.983057851
30,30,AXL,0.0946,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.1115,0.3349,Wilcoxon,two.sided,ns,0.983057851
58,58,CD46,0.12275,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.1499,0.3504,Wilcoxon,two.sided,ns,0.983057851
93,93,COMP,0.16115,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2085,0.4825,Wilcoxon,two.sided,ns,0.983057851
119,119,DKK3,0.2127,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2307,0.5885,Wilcoxon,two.sided,ns,0.983057851
129,129,EGFR,0.08625,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.1248,0.2948,Wilcoxon,two.sided,ns,0.983057851
131,131,ENG,0.0948,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.1236,0.294,Wilcoxon,two.sided,ns,0.983057851
140,140,FABP4,0.2335,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2608,0.7529,Wilcoxon,two.sided,ns,0.983057851
151,151,FETUB,0.07475,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2235,0.4229,Wilcoxon,two.sided,ns,0.983057851
178,178,HYOU1,0.0798,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.091,0.2176,Wilcoxon,two.sided,ns,0.983057851
215,215,LILRB2,0.16145,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2023,0.4506,Wilcoxon,two.sided,ns,0.983057851
245,245,NRP1,0.12565,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.1299,0.3226,Wilcoxon,two.sided,ns,0.983057851
292,292,RETN,0.14955,NPX,Day 1 1h,Day 1 6h,14,14,118,0.376,-0.2504,0.5719,Wilcoxon,two.sided,ns,0.983057851
74,74,CGREF1,0.0966,NPX,Day 1 1h,Day 1 6h,13,13,102,0.39,-0.3298,0.496,Wilcoxon,two.sided,ns,0.983057851
163,163,GPNMB,0.1064,NPX,Day 1 1h,Day 1 6h,13,13,102,0.39,-0.1643,0.3719,Wilcoxon,two.sided,ns,0.983057851
218,218,LRP11,0.1946,NPX,Day 1 1h,Day 1 6h,13,13,102,0.39,-0.2588,0.5517,Wilcoxon,two.sided,ns,0.983057851
257,257,PDGFRA,0.132,NPX,Day 1 1h,Day 1 6h,13,13,102,0.39,-0.2385,0.5517,Wilcoxon,two.sided,ns,0.983057851
278,278,PRSS27,0.1642,NPX,Day 1 1h,Day 1 6h,13,13,102,0.39,-0.1831,0.4601,Wilcoxon,two.sided,ns,0.983057851
7,7,ADA2,0.08335,NPX,Day 1 1h,Day 1 6h,14,14,117,0.401,-0.1509,0.3005,Wilcoxon,two.sided,ns,0.983057851
26,26,AOC3,0.107,NPX,Day 1 1h,Day 1 6h,14,14,117,0.401,-0.1531,0.3595,Wilcoxon,two.sided,ns,0.983057851
47,47,CCL14,0.1147,NPX,Day 1 1h,Day 1 6h,14,14,117,0.401,-0.2502,0.5377,Wilcoxon,two.sided,ns,0.983057851
50,50,CCL18,0.16885,NPX,Day 1 1h,Day 1 6h,14,14,117,0.401,-0.2949,0.6594,Wilcoxon,two.sided,ns,0.983057851
192,192,IL1RL1,-0.07965,NPX,Day 1 1h,Day 1 6h,14,14,79,0.401,-0.4192,0.2078,Wilcoxon,two.sided,ns,0.983057851
